Time,bit-x,bitfinex,bitstamp,btce,coinbase,itbit,lakebtc,mtgox,okcoin,others
2013-05-29 00:00:00 UTC,,3558.61656252,9946.83923725,2995.74291045,,,,19177.31065412,,985.53390095
2013-05-30 00:00:00 UTC,,4729.10265707,9432.35613171,3605.20259731,,,,24566.4530720601,,939.52399671
2013-05-31 00:00:00 UTC,,2267.47870654,5633.94849613999,1989.66813888,,,,16466.87087304,,873.17675808
2013-06-01 00:00:00 UTC,,815.11173932,3406.48517336,1550.90751492,,,,6309.9210657,,601.12806598
2013-06-02 00:00:00 UTC,,11892.97161185,15138.12901202,7631.46597588997,,,,101114.737784399,,824.7245304900001
2013-06-03 00:00:00 UTC,,4750.35164634,8850.29223011,5114.11457014,,,,28795.28913604,,1134.2363108700001
2013-06-04 00:00:00 UTC,,5195.53171194,7166.10953398,2909.09065902,,,,21749.72552577,,660.5494027
2013-06-05 00:00:00 UTC,,1435.87228074,4733.02694896,3011.78306099,,,,16591.69071469,,894.18848352
2013-06-06 00:00:00 UTC,,1260.70737532,2644.30569069,1089.90565918,,,,21921.9696741602,,949.9582470500001
2013-06-07 00:00:00 UTC,,9638.20980937,17150.88080457,8029.72046899,,,,65643.2840508003,,2034.22893558
2013-06-08 00:00:00 UTC,,1943.22231782,5055.00711397,4875.67767399,,,,17113.57363407,,1301.7811846
2013-06-09 00:00:00 UTC,,15769.87201502,30734.49888577,16782.56265583,,,,149250.916236469,,1988.74722846
2013-06-10 00:00:00 UTC,,9456.96656615001,13536.55840755,7197.24954852999,,,,64125.6135395599,,1320.9632909000002
2013-06-11 00:00:00 UTC,,3419.50826205,5234.35334037,3767.74162242,,,,15933.44765096,,1074.17983016
2013-06-12 00:00:00 UTC,,4657.07381088,7612.62055255,3872.23423136,,,,17540.53639131,,1145.92062356
2013-06-13 00:00:00 UTC,,5813.81744085,8047.28050101,5143.34861975,,,,30276.6627077501,,649.6088922
2013-06-14 00:00:00 UTC,,5295.6789836,10698.4120069,5143.65759907,,,,35923.5252383301,,1329.03161256
2013-06-15 00:00:00 UTC,,2397.84888941,4243.40771805,2644.79382727,,,,22476.84118529,,706.9295093000001
2013-06-16 00:00:00 UTC,,1192.21017157,3089.73462791,1619.50163583,,,,8619.5818222,,569.47628872
2013-06-17 00:00:00 UTC,,1286.44020787,4593.86729853,2003.5630542,,,,15024.77300982,,729.30992572
